States/Uts,Total,Male,Female,Rural,R_Male,R_Female,Urban,U_Male,U_Female
Andhra Pradesh,29,30,29,33,34,32,21,20,22
Assam,41,40,44,44,42,46,20,20,21
Bihar,32,30,35,32,30,35,30,26,34
Chhattisgarh,41,42,39,42,44,40,35,34,36
Delhi,13,14,12,8,16,0,13,14,12
Gujarat,28,29,27,33,34,32,20,21,19
Haryana,30,31,29,33,34,31,25,24,25
Jammu and Kashmir,22,22,23,23,23,24,20,19,20
Jharkhand,30,27,34,31,28,35,26,24,28
Karnataka,23,21,25,25,23,26,20,18,22
Kerala,7,9,5,9,8,10,5,11,0
Madhya Pradesh,48,51,46,52,54,49,36,37,35
Maharashtra,19,19,19,24,23,25,14,14,13
Odisha,40,40,39,41,41,40,31,31,30
Punjab,20,21,20,21,21,21,19,20,19
Rajasthan,37,37,38,41,40,41,26,24,28
Tamil Nadu,15,16,14,18,19,17,12,13,12
Uttar Pradesh,43,43,44,46,45,46,35,32,38
West Bengal,22,21,22,22,23,22,20,18,22
India,32,32,33,36,36,36,23,22,23
