States,Male_1961,Female_1961,Total_1961,Male_1981,Female_1981,Total_1981
Andaman and Nicobar Islands,78,66,77,71,61,69
Andhra Pradesh,100,82,91,67,51,55
Arunachal Pradesh,141,111,126,111,103,91
Bihar,95,94,94,62,89,75
Chandigarh,53,53,53,50,47,48
Dadra and Nagar Haveli,102,93,98,84,73,81
Daman and Diu,60,56,57,61,50,56
Delhi,66,70,67,55,51,54
Goa,60,56,57,56,48,51
Gujarat,81,84,84,74,82,78
Haryana,87,119,94,57,54,52
Himachal Pradesh,101,89,92,84,81,82
Karnataka,87,74,81,74,72,74
Kerala,55,48,52,45,41,42
Lakshadweep,124,88,118,100,78,91
Madhya Pradesh,158,140,150,131,136,133
Maharashtra,96,89,92,72,76,74
Manipur,31,33,32,29,27,28
Meghalaya,81,76,79,79,82,80
Mizoram,73,65,69,51,56,53
Nagaland,76,58,68,51,52,51
Odisha,119,111,115,129,111,125
Puducherry,77,68,73,32,35,34
Punjab,74,79,77,81,53,74
Rajasthan,114,114,114,94,79,87
Sikkim,105,87,96,58,62,60
Tamil Nadu,89,82,86,55,51,54
Tripura,106,116,111,81,84,82
Uttar Pradesh,131,128,130,98,104,99
West Bengal,103,57,95,75,51,62
India,122,108,115,74,79,77
